model,k,precision_mean,precision_std,recall_mean,recall_std,n_users
popularity,5,0.0002,0.006321,1.4e-05,0.000427,1000
popularity,10,0.0008,0.008908,0.000104,0.001161,1000
popularity,20,0.00145,0.008683,0.000414,0.002528,1000
semantic,5,0.004404,0.030685,0.000344,0.002481,999
semantic,10,0.003604,0.020185,0.000569,0.003274,999
semantic,20,0.002703,0.012762,0.000836,0.004003,999
emotion-aware,5,0.003604,0.026603,0.000289,0.002257,999
emotion-aware,10,0.002703,0.016216,0.000426,0.002669,999
emotion-aware,20,0.002302,0.010946,0.000741,0.003659,999
